Channel_Nuclei,Channel_phallodin,Channel_tsO45G,Count_Nuclei,Count_PlasmaMembrane,Count_SecratoryMembrane,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05SaveImages,ExecutionTime_06IdentifyPrimaryObjects,ExecutionTime_07IdentifySecondaryObjects,ExecutionTime_08IdentifyTertiaryObjects,ExecutionTime_09MeasureObjectIntensity,FileName_Nuclei,FileName_phallodin,FileName_tsO45G,Frame_Nuclei,Frame_phallodin,Frame_tsO45G,Group_Index,Group_Length,Group_Number,Height_Nuclei,Height_phallodin,Height_tsO45G,ImageNumber,ImageSet_ImageSet,MD5Digest_Nuclei,MD5Digest_phallodin,MD5Digest_tsO45G,Metadata_Frame,Metadata_Series,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05SaveImages,ModuleError_06IdentifyPrimaryObjects,ModuleError_07IdentifySecondaryObjects,ModuleError_08IdentifyTertiaryObjects,ModuleError_09MeasureObjectIntensity,PathName_Nuclei,PathName_phallodin,PathName_tsO45G,ProcessingStatus,Scaling_Nuclei,Scaling_phallodin,Scaling_tsO45G,Series_Nuclei,Series_phallodin,Series_tsO45G,Threshold_FinalThreshold_Nuclei,Threshold_FinalThreshold_SecratoryMembrane,Threshold_OrigThreshold_Nuclei,Threshold_OrigThreshold_SecratoryMembrane,Threshold_SumOfEntropies_Nuclei,Threshold_SumOfEntropies_SecratoryMembrane,Threshold_WeightedVariance_Nuclei,Threshold_WeightedVariance_SecratoryMembrane,URL_Nuclei,URL_phallodin,URL_tsO45G,Width_Nuclei,Width_phallodin,Width_tsO45G
-1,-1,-1,137.0,137.0,137.0,0.0,0.0,0.578125,0.0,0.0625,0.625,0.640625,0.140625,0.03125,--W00351--P00001--Z00000--T00000--dapi.tif,--W00351--P00001--Z00000--T00000--pm-647.tif,--W00351--P00001--Z00000--T00000--vsvg-cfp.tif,0,0,0,1,34,1,1024,1024,1024,1,b'eLv0RrmdG20NjHYVhlXQjrYH6BDIBbm6ZibmVApiUFlhBwDZgmLE',f7b9004aeb540ff1d42610eea6def7d8,bdbd66a25426da21f552d375efbd7c24,12f4562fa919cf7b51e3839477bc15cc,0,0,0,0,0,0,0,0,0,0,0,C:\Users\holly\OneDrive\Bureau\Internship\Dataset,C:\Users\holly\OneDrive\Bureau\Internship\Dataset,C:\Users\holly\OneDrive\Bureau\Internship\Dataset,Done,65535,65535,65535,0,0,0,0.00865528080612421,0.009183426387608051,0.008655281,0.009183426,-13.166493905131121,-13.235857954751236,0.052400109667051505,0.08365628209406038,file:///C:/Users/holly/OneDrive/Bureau/Internship/Dataset/--W00351--P00001--Z00000--T00000--dapi.tif,file:///C:/Users/holly/OneDrive/Bureau/Internship/Dataset/--W00351--P00001--Z00000--T00000--pm-647.tif,file:///C:/Users/holly/OneDrive/Bureau/Internship/Dataset/--W00351--P00001--Z00000--T00000--vsvg-cfp.tif,1344,1344,1344
-1,-1,-1,95.0,95.0,95.0,0.0,0.0,0.4375,0.0,0.0625,1.0625,0.359375,0.078125,0.03125,--W00352--P00001--Z00000--T00000--dapi.tif,--W00352--P00001--Z00000--T00000--pm-647.tif,--W00352--P00001--Z00000--T00000--vsvg-cfp.tif,0,0,0,2,34,1,1024,1024,1024,2,b'eLv0RrmdG20N0Kw1YDTaGhiAoB1tD9AhkAtydc1MzKkUxKCywg4A3u5ixw==',e5b8e155c543efd642dc82cbdbc6b9a4,f25a535d030eb567310473df06c0c7ba,163188730650a432d761fc35ea87896b,0,0,0,0,0,0,0,0,0,0,0,C:\Users\holly\OneDrive\Bureau\Internship\Dataset,C:\Users\holly\OneDrive\Bureau\Internship\Dataset,C:\Users\holly\OneDrive\Bureau\Internship\Dataset,Done,65535,65535,65535,0,0,0,0.008444060571491718,0.008892528712749481,0.008444061,0.008892529,-13.113582663516617,-13.20499188582038,0.03712129457517492,0.05806237294619417,file:///C:/Users/holly/OneDrive/Bureau/Internship/Dataset/--W00352--P00001--Z00000--T00000--dapi.tif,file:///C:/Users/holly/OneDrive/Bureau/Internship/Dataset/--W00352--P00001--Z00000--T00000--pm-647.tif,file:///C:/Users/holly/OneDrive/Bureau/Internship/Dataset/--W00352--P00001--Z00000--T00000--vsvg-cfp.tif,1344,1344,1344
-1,-1,-1,148.0,148.0,148.0,0.0,0.0,0.53125,0.0,0.03125,1.296875,0.453125,0.09375,0.078125,--W00353--P00001--Z00000--T00000--dapi.tif,--W00353--P00001--Z00000--T00000--pm-647.tif,--W00353--P00001--Z00000--T00000--vsvg-cfp.tif,0,0,0,3,34,1,1024,1024,1024,3,b'eLv0RrmdG20N0Kw1gC9djrYGaBW0o+0BOgRyQa6umYk5lYIYVFbYAQDkWmLK',ec023899c922679946efa9e81ebf29ea,f28edd8b4eb40669da22a10784b75d46,702a23299a4c14874a4fa77b1ee74b4a,0,0,0,0,0,0,0,0,0,0,0,C:\Users\holly\OneDrive\Bureau\Internship\Dataset,C:\Users\holly\OneDrive\Bureau\Internship\Dataset,C:\Users\holly\OneDrive\Bureau\Internship\Dataset,Done,65535,65535,65535,0,0,0,0.008778461255133152,0.008712923154234886,0.008778461,0.008712923,-13.122293032669338,-13.215917033235678,0.058727811926362825,0.06567954343396802,file:///C:/Users/holly/OneDrive/Bureau/Internship/Dataset/--W00353--P00001--Z00000--T00000--dapi.tif,file:///C:/Users/holly/OneDrive/Bureau/Internship/Dataset/--W00353--P00001--Z00000--T00000--pm-647.tif,file:///C:/Users/holly/OneDrive/Bureau/Internship/Dataset/--W00353--P00001--Z00000--T00000--vsvg-cfp.tif,1344,1344,1344
-1,-1,-1,73.0,73.0,73.0,0.0,0.0,0.53125,0.0,0.0625,0.890625,0.5,0.09375,0.109375,--W00354--P00001--Z00000--T00000--dapi.tif,--W00354--P00001--Z00000--T00000--pm-647.tif,--W00354--P00001--Z00000--T00000--vsvg-cfp.tif,0,0,0,4,34,1,1024,1024,1024,4,b'eLv0RrmdG20N0Kw1YDLaGhiAoB1tD9AhkAtydc1MzKkUxKCywg4A6cZizQ==',d0f10c147a273a8a8cd9b469f12f8c88,2d29e9226a1d6c185eeb468a1c0596a5,92aefa444340ad0c1a5169a4f7def86e,0,0,0,0,0,0,0,0,0,0,0,C:\Users\holly\OneDrive\Bureau\Internship\Dataset,C:\Users\holly\OneDrive\Bureau\Internship\Dataset,C:\Users\holly\OneDrive\Bureau\Internship\Dataset,Done,65535,65535,65535,0,0,0,0.008874685503542423,0.009214352816343307,0.0088746855,0.009214353,-13.186962857699738,-13.197474697720846,0.036170283975508255,0.05928041166367848,file:///C:/Users/holly/OneDrive/Bureau/Internship/Dataset/--W00354--P00001--Z00000--T00000--dapi.tif,file:///C:/Users/holly/OneDrive/Bureau/Internship/Dataset/--W00354--P00001--Z00000--T00000--pm-647.tif,file:///C:/Users/holly/OneDrive/Bureau/Internship/Dataset/--W00354--P00001--Z00000--T00000--vsvg-cfp.tif,1344,1344,1344
-1,-1,-1,131.0,131.0,131.0,0.0,0.0,0.109375,0.0,0.0,0.578125,0.53125,0.15625,0.046875,--W00355--P00001--Z00000--T00000--dapi.tif,--W00355--P00001--Z00000--T00000--pm-647.tif,--W00355--P00001--Z00000--T00000--vsvg-cfp.tif,0,0,0,5,34,1,1024,1024,1024,5,b'eLv0RrmdG20N0Kw1gCc7j7YGaBa0o+0BOgRyQa6umYk5lYIYVFbYAQDvMmLQ',db7fa4b0418f0a8631ae97b89ecf796f,073d8b87e4f4c982708d0f3bc496cd34,b4926f6e07f11e162e0eecd8b9b3bc7e,0,0,0,0,0,0,0,0,0,0,0,C:\Users\holly\OneDrive\Bureau\Internship\Dataset,C:\Users\holly\OneDrive\Bureau\Internship\Dataset,C:\Users\holly\OneDrive\Bureau\Internship\Dataset,Done,65535,65535,65535,0,0,0,0.007984154857695103,0.009677840396761894,0.007984155,0.00967784,-13.34334726016089,-13.224784440056661,0.055419345009080904,0.06488818448434315,file:///C:/Users/holly/OneDrive/Bureau/Internship/Dataset/--W00355--P00001--Z00000--T00000--dapi.tif,file:///C:/Users/holly/OneDrive/Bureau/Internship/Dataset/--W00355--P00001--Z00000--T00000--pm-647.tif,file:///C:/Users/holly/OneDrive/Bureau/Internship/Dataset/--W00355--P00001--Z00000--T00000--vsvg-cfp.tif,1344,1344,1344
-1,-1,-1,112.0,112.0,112.0,0.0,0.0,0.109375,0.0,0.015625,0.671875,0.515625,0.109375,0.078125,--W00356--P00001--Z00000--T00000--dapi.tif,--W00356--P00001--Z00000--T00000--pm-647.tif,--W00356--P00001--Z00000--T00000--vsvg-cfp.tif,0,0,0,6,34,1,1024,1024,1024,6,b'eLv0RrmdG20N0Kw1YDbaGhiAoB1tD9AhkAtydc1MzKkUxKCywg4A9J5i0w==',ff12d7a3937b58c029c5ff020ba870bc,74567c3b36f9c941dc46598f9d5916b7,21b73a362bf3aa38d65f1550e4f91f91,0,0,0,0,0,0,0,0,0,0,0,C:\Users\holly\OneDrive\Bureau\Internship\Dataset,C:\Users\holly\OneDrive\Bureau\Internship\Dataset,C:\Users\holly\OneDrive\Bureau\Internship\Dataset,Done,65535,65535,65535,0,0,0,0.007576590869575739,0.008149364031851292,0.007576591,0.008149364,-13.266752240627657,-13.198107345897881,0.04259705840643354,0.06684230455734526,file:///C:/Users/holly/OneDrive/Bureau/Internship/Dataset/--W00356--P00001--Z00000--T00000--dapi.tif,file:///C:/Users/holly/OneDrive/Bureau/Internship/Dataset/--W00356--P00001--Z00000--T00000--pm-647.tif,file:///C:/Users/holly/OneDrive/Bureau/Internship/Dataset/--W00356--P00001--Z00000--T00000--vsvg-cfp.tif,1344,1344,1344
-1,-1,-1,125.0,125.0,125.0,0.0,0.0,0.171875,0.0,0.0,0.71875,0.609375,0.0625,0.015625,--W00357--P00001--Z00000--T00000--dapi.tif,--W00357--P00001--Z00000--T00000--pm-647.tif,--W00357--P00001--Z00000--T00000--vsvg-cfp.tif,0,0,0,7,34,1,1024,1024,1024,7,b'eLv0RrmdG20N0Kw1gKd0Gm0N0CxoR9sDdAjkglxdMxNzKgUxqKywAwD6CmLW',212c8487269cb2cf8ad817ad87f55d37,5b490fa7679052a16d2524d9e1a06b73,087ee8d4537d39505310c541e5bff0a2,0,0,0,0,0,0,0,0,0,0,0,C:\Users\holly\OneDrive\Bureau\Internship\Dataset,C:\Users\holly\OneDrive\Bureau\Internship\Dataset,C:\Users\holly\OneDrive\Bureau\Internship\Dataset,Done,65535,65535,65535,0,0,0,0.008910859003663063,0.010389500297605991,0.008910859,0.0103895,-13.198231168469587,-13.167705950224814,0.05445482145645591,0.0718660301681964,file:///C:/Users/holly/OneDrive/Bureau/Internship/Dataset/--W00357--P00001--Z00000--T00000--dapi.tif,file:///C:/Users/holly/OneDrive/Bureau/Internship/Dataset/--W00357--P00001--Z00000--T00000--pm-647.tif,file:///C:/Users/holly/OneDrive/Bureau/Internship/Dataset/--W00357--P00001--Z00000--T00000--vsvg-cfp.tif,1344,1344,1344
-1,-1,-1,144.0,144.0,144.0,0.0,0.0,0.203125,0.0,0.046875,0.5625,0.65625,0.125,0.078125,--W00358--P00001--Z00000--T00000--dapi.tif,--W00358--P00001--Z00000--T00000--pm-647.tif,--W00358--P00001--Z00000--T00000--vsvg-cfp.tif,0,0,0,8,34,1,1024,1024,1024,8,b'eLv0RrmdG20N0Kw1YDHaGhiAoB1tD9AhkAtydc1MzKkUxKCywg4A/3Zi2Q==',bdc8a53253ca1c8a428e072d65e5ca27,81ee1bad9eea414db2ee5da67012405c,24619b9f7decbc27553fceda7976533f,0,0,0,0,0,0,0,0,0,0,0,C:\Users\holly\OneDrive\Bureau\Internship\Dataset,C:\Users\holly\OneDrive\Bureau\Internship\Dataset,C:\Users\holly\OneDrive\Bureau\Internship\Dataset,Done,65535,65535,65535,0,0,0,0.008477877825498581,0.009374630637466908,0.008477878,0.009374631,-13.281029546087272,-13.214560600416705,0.056963374286277985,0.08385806985930751,file:///C:/Users/holly/OneDrive/Bureau/Internship/Dataset/--W00358--P00001--Z00000--T00000--dapi.tif,file:///C:/Users/holly/OneDrive/Bureau/Internship/Dataset/--W00358--P00001--Z00000--T00000--pm-647.tif,file:///C:/Users/holly/OneDrive/Bureau/Internship/Dataset/--W00358--P00001--Z00000--T00000--vsvg-cfp.tif,1344,1344,1344
-1,-1,-1,112.0,112.0,112.0,0.0,0.0,0.21875,0.0,0.015625,0.609375,0.53125,0.046875,0.03125,--W00359--P00001--Z00000--T00000--dapi.tif,--W00359--P00001--Z00000--T00000--pm-647.tif,--W00359--P00001--Z00000--T00000--vsvg-cfp.tif,0,0,0,9,34,1,1024,1024,1024,9,b'eLv0RrmdG20NjLYGhlXQjrYH6BDIBbm6ZibmVApiUFlhBwAE8WLc',3f5f15e06724278d9f7715b60b68618c,9c3c6dfa0b7d7b1af9f872d610bbbfe8,0ae464d7b036ae154b9255f87396139c,0,0,0,0,0,0,0,0,0,0,0,C:\Users\holly\OneDrive\Bureau\Internship\Dataset,C:\Users\holly\OneDrive\Bureau\Internship\Dataset,C:\Users\holly\OneDrive\Bureau\Internship\Dataset,Done,65535,65535,65535,0,0,0,0.0072282166220247746,0.011677833274006844,0.0072282166,0.011677833,-13.344875979163145,-13.01334154456342,0.04882381216012548,0.0932225186015027,file:///C:/Users/holly/OneDrive/Bureau/Internship/Dataset/--W00359--P00001--Z00000--T00000--dapi.tif,file:///C:/Users/holly/OneDrive/Bureau/Internship/Dataset/--W00359--P00001--Z00000--T00000--pm-647.tif,file:///C:/Users/holly/OneDrive/Bureau/Internship/Dataset/--W00359--P00001--Z00000--T00000--vsvg-cfp.tif,1344,1344,1344
-1,-1,-1,180.0,180.0,180.0,0.0,0.0,0.109375,0.0,0.0625,0.578125,0.65625,0.125,0.09375,--W00360--P00001--Z00000--T00000--dapi.tif,--W00360--P00001--Z00000--T00000--pm-647.tif,--W00360--P00001--Z00000--T00000--vsvg-cfp.tif,0,0,0,10,34,1,1024,1024,1024,10,b'eLv0RrmdG20N0Kx0MhhtDQxA0I62B+gQyAW5umYm5lQKYlBZYQcA2YVixA==',ac87d1027dcfb2719879907bf020336e,7ab4a6d155ef69764df3da11d952bbc6,4ef465dbb35b35df1ee9f81fece670cb,0,0,0,0,0,0,0,0,0,0,0,C:\Users\holly\OneDrive\Bureau\Internship\Dataset,C:\Users\holly\OneDrive\Bureau\Internship\Dataset,C:\Users\holly\OneDrive\Bureau\Internship\Dataset,Done,65535,65535,65535,0,0,0,0.007486988790333271,0.008542785421013832,0.007486989,0.008542785,-13.244322424247967,-13.241649505423503,0.059059763176975366,0.08153489790878764,file:///C:/Users/holly/OneDrive/Bureau/Internship/Dataset/--W00360--P00001--Z00000--T00000--dapi.tif,file:///C:/Users/holly/OneDrive/Bureau/Internship/Dataset/--W00360--P00001--Z00000--T00000--pm-647.tif,file:///C:/Users/holly/OneDrive/Bureau/Internship/Dataset/--W00360--P00001--Z00000--T00000--vsvg-cfp.tif,1344,1344,1344
