ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number,Parent_Nuclei,Parent_SecratoryMembrane
1,1,487.3469387755102,23.683673469387756,1,1,1
1,2,538.671052631579,27.30263157894737,2,2,2
1,3,856.8454545454546,24.472727272727273,3,3,3
1,4,1059.439024390244,27.152439024390244,4,4,4
1,5,697.6075949367089,26.759493670886076,5,5,5
1,6,532.9268292682926,36.86585365853659,6,6,6
1,7,690.7627118644068,40.644067796610166,7,7,7
1,8,768.9305993690851,32.17350157728707,8,8,8
1,9,598.275,51.2375,9,9,9
1,10,629.921052631579,43.25,10,10,10
1,11,924.5015527950311,28.92080745341615,11,11,11
1,12,641.7307692307693,49.85576923076923,12,12,12
1,13,1007.9698492462312,33.18894472361809,13,13,13
1,14,1239.1247947454845,57.64039408866995,14,14,14
1,15,1018.2721598002497,81.39076154806492,15,15,15
1,16,635.8868613138686,71.98175182481752,16,16,16
1,17,919.8518518518518,68.87962962962963,17,17,17
1,18,224.23039215686273,81.49264705882354,18,18,18
1,19,149.08616187989557,68.25718015665797,19,19,19
1,20,785.2463917525773,77.24742268041237,20,20,20
1,21,908.4827586206897,81.0919540229885,21,21,21
1,22,1258.0203703703703,87.72407407407407,22,22,22
1,23,529.9881129271917,83.60624071322437,23,23,23
1,24,524.2894211576846,107.13572854291417,24,24,24
1,25,20.141592920353983,107.54867256637168,25,25,25
1,26,797.6530612244898,107.90816326530613,26,26,26
1,27,775.7010309278351,112.03092783505154,27,27,27
1,28,727.8939393939394,120.54545454545455,28,28,28
1,29,231.23338735818476,116.7163695299838,29,29,29
1,30,639.1758241758242,128.57142857142858,30,30,30
1,31,626.2405063291139,142.27426160337552,31,31,31
1,32,241.3498920086393,146.71274298056156,32,32,32
1,33,766.5773195876288,140.7422680412371,33,33,33
1,34,954.5395833333333,151.97291666666666,34,34,34
1,35,1217.918918918919,146.63963963963963,35,35,35
1,36,810.2966101694915,154.54237288135593,36,36,36
1,37,720.4736842105264,162.32631578947368,37,37,37
1,38,1311.355623100304,172.11550151975683,38,38,38
1,39,1025.873417721519,170.13924050632912,39,39,39
1,40,623.8978102189781,171.58706986444213,40,40,40
1,41,1038.2233009708739,179.9126213592233,41,41,41
1,42,1017.5873015873016,181.24603174603175,42,42,42
1,43,1238.6914893617022,181.17021276595744,43,43,43
1,44,263.3291457286432,179.35552763819095,44,44,44
1,45,619.5575129533679,192.1056994818653,45,45,45
1,46,336.3389121338912,200.10041841004184,46,46,46
1,47,897.3197556008147,191.64562118126273,47,47,47
1,48,201.1432664756447,199.40544412607449,48,48,48
1,49,223.44117647058823,214.78328173374612,49,49,49
1,50,797.6440677966102,207.0677966101695,50,50,50
1,51,807.2189781021898,213.62773722627736,51,51,51
1,52,991.8716981132076,210.1320754716981,52,52,52
1,53,939.632768361582,222.6129943502825,53,53,53
1,54,932.5502958579882,242.23076923076923,54,54,54
1,55,828.8787878787879,232.87878787878788,55,55,55
1,56,135.34782608695653,245.06832298136646,56,56,56
1,57,518.0244648318043,230.442035029191,57,57,57
1,58,619.5390713476784,232.6545866364666,58,58,58
1,59,858.2727272727273,254.72727272727272,59,59,59
1,60,633.4697986577181,255.02828379674017,60,60,60
1,61,450.1209624258405,266.7313777191826,61,61,61
1,62,1217.6083333333333,256.6642857142857,62,62,62
1,63,854.1012658227849,264.4177215189873,63,63,63
1,64,1254.6986190089358,268.7083671811535,64,64,64
1,65,957.0419026047565,268.33635334088336,65,65,65
1,66,749.2200527704485,257.687598944591,66,66,66
1,67,166.60199004975124,294.0497512437811,67,67,67
1,68,279.86036036036035,289.64414414414415,68,68,68
1,69,561.6456692913385,293.2834645669291,69,69,69
1,70,1313.124,301.332,70,70,70
1,71,998.8990384615385,298.5144230769231,71,71,71
1,72,590.3939393939394,331.1848484848485,72,72,72
1,73,618.3190661478599,305.6264591439689,73,73,73
1,74,173.44230769230768,317.4423076923077,74,74,74
1,75,640.0309119010819,302.05100463678514,75,75,75
1,76,964.5217391304348,326.89130434782606,76,76,76
1,77,281.8542435424354,331.99446494464945,77,77,77
1,78,941.3932584269663,335.5280898876405,78,78,78
1,79,950.4252873563219,341.42528735632186,79,79,79
1,80,1127.8628257887517,348.24417009602195,80,80,80
1,81,1145.5722543352601,333.64354527938343,81,81,81
1,82,818.0760869565217,340.48097826086956,82,82,82
1,83,536.7323943661971,378.66901408450707,83,83,83
1,84,445.0498220640569,375.3202846975089,84,84,84
1,85,448.8503937007874,393.0511811023622,85,85,85
1,86,842.5166666666667,408.6766666666667,86,86,86
1,87,698.6422613531047,415.4708063021316,87,87,87
1,88,285.8235294117647,428.2843137254902,88,88,88
1,89,380.364406779661,438.64406779661016,89,89,89
1,90,109.23333333333333,441.15,90,90,90
1,91,1072.482905982906,435.43589743589746,91,91,91
1,92,860.8962264150944,454.5660377358491,92,92,92
1,93,1062.2593431483579,461.70215175537936,93,93,93
1,94,1169.9105431309904,462.10543130990413,94,94,94
1,95,851.9139784946236,463.6774193548387,95,95,95
1,96,804.1935483870968,466.6774193548387,96,96,96
1,97,801.0106382978723,479.48936170212767,97,97,97
1,98,1132.029239766082,473.5964912280702,98,98,98
1,99,193.1362048894063,486.1175785797439,99,99,99
1,100,1118.3060344827586,486.2866379310345,100,100,100
1,101,1046.6192893401014,492.4517766497462,101,101,101
1,102,1004.5,493.43939393939394,102,102,102
1,103,546.3294117647059,499.6,103,103,103
1,104,1014.0283018867924,496.58490566037733,104,104,104
1,105,729.5274390243902,507.7896341463415,105,105,105
1,106,551.1789473684211,516.1157894736842,106,106,106
1,107,976.4041450777202,519.1502590673575,107,107,107
1,108,164.72549019607843,528.8529411764706,108,108,108
1,109,979.2596153846154,548.8365384615385,109,109,109
1,110,475.95180722891564,553.0240963855422,110,110,110
1,111,829.5563909774436,554.2556390977444,111,111,111
1,112,463.4022988505747,555.8850574712644,112,112,112
1,113,777.3823529411765,554.3823529411765,113,113,113
1,114,777.4852941176471,571.5514705882352,114,114,114
1,115,908.0686274509804,569.7647058823529,115,115,115
1,116,397.1385681293303,578.1593533487298,116,116,116
1,117,428.47251773049646,586.4193262411347,117,117,117
1,118,885.1616161616162,596.7474747474747,118,118,118
1,119,705.320987654321,606.6255144032922,119,119,119
1,120,790.2234042553191,620.3457446808511,120,120,120
1,121,886.2924528301887,627.7169811320755,121,121,121
1,122,781.9508196721312,637.8524590163935,122,122,122
1,123,856.0961538461538,674.9230769230769,123,123,123
1,124,1153.6962025316457,676.4240506329114,124,124,124
1,125,1184.2857142857142,679.812030075188,125,125,125
1,126,1140.1239669421489,693.9090909090909,126,126,126
1,127,462.86986301369865,759.1318493150685,127,127,127
